Room Number,Category,Family,Type,Quantity,Commissioning planned date,Type of room,Area,מסמכים סופקו
L4012,Electrical Fixtures,Frame_Socket,Type 2,3,06-May-25,women w.c,13.59,לא
L4012,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),2,06-May-25,women w.c,13.59,לא
L4013,Electrical Equipment,M_Disconnect Switches,1000A,1,06-May-25,electricity shaft,3.08,כן
L4013,Electrical Equipment,Yani_Circuit breaker_SwitchBoard,60x240x210  GEN,1,06-May-25,electricity shaft,3.08,כן
L4013,Electrical Fixtures,SOCKETS1,x×©×§×¢ ×ª×§×©×•×¨×ª 2,1,06-May-25,electricity shaft,3.08,כן
L4016,Electrical Fixtures,Frame_Socket,Normal x2,1,06-May-25,LSS/FMS room,8.19,לא
L4016,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),1,06-May-25,LSS/FMS room,8.19,לא
L4016,Lighting Fixtures,M_Recessed Direct-Indirect Light - Asymmetrical,Topaz 1200mm,2,06-May-25,LSS/FMS room,8.19,לא
L4016,Mechanical Equipment,AWSQ 450(right),AWSQ 450,1,06-May-25,LSS/FMS room,8.19,לא
L4017,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),2,06-May-25,corridor,17.06,לא
L4018,Electrical Equipment,M_Disconnect Switches,1000A,1,06-May-25,electricity shaft,4.41,כן
L4018,Electrical Equipment,Yani_Circuit breaker_SwitchBoard,60x240x210,1,06-May-25,electricity shaft,4.41,כן
L4018,Electrical Fixtures,SOCKETS1,x×©×§×¢ ×ª×§×©×•×¨×ª 2,1,06-May-25,electricity shaft,4.41,כן
L4024,Electrical Fixtures,Frame_Socket,FOR LSS UPS,1,06-May-25,LSS shaft,0.9,לא
L4025,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),2,06-May-25,elevators Lobby,32.35,כן
L4025,Mechanical Equipment,AW 800(right),AW 800,1,06-May-25,elevators Lobby,32.35,כן
L4027,Electrical Fixtures,Frame_Socket,1 AC,3,06-May-25,shelter,51.68,לא
L4027,Electrical Fixtures,Frame_Socket,Normal x2,2,06-May-25,shelter,51.68,לא
L4027,Electrical Fixtures,Frame_Socket,Type 2,2,06-May-25,shelter,51.68,לא
L4027,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),3,06-May-25,shelter,51.68,לא
L4027,Mechanical Equipment,AWSQ 1000(right),AWSQ 1000,1,06-May-25,shelter,51.68,לא
L4027,Mechanical Equipment,AWSQ 700(right),AWSQ 700,1,06-May-25,shelter,51.68,לא
L4028,Electrical Fixtures,Frame_Socket,Normal x1 WP,1,06-May-25,men w.c,13.49,לא
L4028,Electrical Fixtures,Frame_Socket,Type 2,3,06-May-25,men w.c,13.49,לא
L4028,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),2,06-May-25,men w.c,13.49,לא
L4029,Lighting Fixtures,×¡×™ ×œ×“ 6600,42W 4000K,2,06-May-25,plumbing shaft,8.19,לא
L4032,Electrical Equipment,M_Circuit Breaker Switchboard,100mmx46mm,2,06-May-25,it /security room,32.4,כן
L4032,Electrical Equipment,M_Transformer Switchboard,400mmx250mmx600h,2,06-May-25,it /security room,32.4,כן
L4032,Electrical Fixtures,Frame_Socket,1 AC GEN,2,06-May-25,it /security room,32.4,כן
L4032,Electrical Fixtures,Frame_Socket,Gen,2,06-May-25,it /security room,32.4,כן
L4032,Electrical Fixtures,SOCKETS1,x×©×§×¢ ×ª×§×©×•×¨×ª 2,2,06-May-25,it /security room,32.4,כן
L4032,Electrical Fixtures,Socket_Cee_R19,GEN CEE_1x16A_1Ph,6,06-May-25,it /security room,32.4,כן
L4032,Electrical Fixtures,Socket_Cee_R19,UPS CEE_1x16A_1Ph,6,06-May-25,it /security room,32.4,כן
